"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F31D","🌝","f0 9f 8c 9d","FULL MOON WITH FACE","%F0%9F%8C%9D","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%9D",21000000,21000,21000000,3055978,0,0
"U+1F31E","🌞","f0 9f 8c 9e","SUN WITH FACE","%F0%9F%8C%9E","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%9E",300,1,282,1008785,0,4
"U+1F31F","🌟","f0 9f 8c 9f","GLOWING STAR","%F0%9F%8C%9F","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%9F",210000000000,210000000000,0,5472109,0,1
"U+1F320","🌠","f0 9f 8c a0","SHOOTING STAR","%F0%9F%8C%A0","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A0",50,1,0,1582575,0,1
"U+1F321","🌡","f0 9f 8c a1","THERMOMETER","%F0%9F%8C%A1","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A1",1,1,0,18897746,0,1
"U+1F322","🌢","f0 9f 8c a2","BLACK DROPLET","%F0%9F%8C%A2","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A2",1,1,0,18897750,0,1
"U+1F323","🌣","f0 9f 8c a3","WHITE SUN","%F0%9F%8C%A3","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A3",1,1,0,18897765,0,1
"U+1F324","🌤","f0 9f 8c a4","WHITE SUN WITH SMALL CLOUD","%F0%9F%8C%A4","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A4",121,1,115,7322334,0,2
"U+1F325","🌥","f0 9f 8c a5","WHITE SUN BEHIND CLOUD","%F0%9F%8C%A5","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A5",777,777,0,7410300,0,1
"U+1F326","🌦","f0 9f 8c a6","WHITE SUN BEHIND CLOUD WITH RAIN","%F0%9F%8C%A6","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A6",777,777,0,7418363,0,1
"U+1F327","🌧","f0 9f 8c a7","CLOUD WITH RAIN","%F0%9F%8C%A7","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A7",777,777,0,7418099,0,1
"U+1F328","🌨","f0 9f 8c a8","CLOUD WITH SNOW","%F0%9F%8C%A8","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A8",1,1,0,18897757,0,1
"U+1F329","🌩","f0 9f 8c a9","CLOUD WITH LIGHTNING","%F0%9F%8C%A9","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%A9",21000000,21000000,0,1621770,0,14
"U+1F32A","🌪","f0 9f 8c aa","CLOUD WITH TORNADO","%F0%9F%8C%AA","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AA",6666666,3333,6586674,5184599,0,1
"U+1F32B","🌫","f0 9f 8c ab","FOG","%F0%9F%8C%AB","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AB",NA,NA,NA,NA,NA,NA
"U+1F32C","🌬","f0 9f 8c ac","WIND BLOWING FACE","%F0%9F%8C%AC","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AC",420000,210000,0,5512688,0,1
"U+1F32D","🌭","f0 9f 8c ad","HOT DOG","%F0%9F%8C%AD","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AD",999,1,975,998654,0,1
"U+1F32E","🌮","f0 9f 8c ae","TACO","%F0%9F%8C%AE","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AE",512,1,507,445603,0,1
"U+1F32F","🌯","f0 9f 8c af","BURRITO","%F0%9F%8C%AF","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%AF",100,1,100,5077487,0,0
"U+1F330","🌰","f0 9f 8c b0","CHESTNUT","%F0%9F%8C%B0","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B0",21000000,1000,20980000,4284723,0,2
"U+1F331","🌱","f0 9f 8c b1","SEEDLING","%F0%9F%8C%B1","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B1",10000,5,9945,1055235,0,1
"U+1F332","🌲","f0 9f 8c b2","EVERGREEN TREE","%F0%9F%8C%B2","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B2",2100000,1000,2100000,1055246,0,0
"U+1F333","🌳","f0 9f 8c b3","DECIDUOUS TREE","%F0%9F%8C%B3","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B3",21000000,10000,21000000,1055239,0,0
"U+1F334","🌴","f0 9f 8c b4","PALM TREE","%F0%9F%8C%B4","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B4",21000,21000,0,2118704,0,1
"U+1F335","🌵","f0 9f 8c b5","CACTUS","%F0%9F%8C%B5","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B5",50,1,0,3454919,0,19
