Unicode	character	UTF-8	name
U+1F4B5	💵	f0 9f 92 b5	BANKNOTE WITH DOLLAR SIGN
U+1F4B6	💶	f0 9f 92 b6	BANKNOTE WITH EURO SIGN
U+1F4B7	💷	f0 9f 92 b7	BANKNOTE WITH POUND SIGN
U+1F4B8	💸	f0 9f 92 b8	MONEY WITH WINGS
U+1F4B9	💹	f0 9f 92 b9	CHART WITH UPWARDS TREND AND YEN SIGN
U+1F4BA	💺	f0 9f 92 ba	SEAT
U+1F4BB	💻	f0 9f 92 bb	PERSONAL COMPUTER
U+1F4BC	💼	f0 9f 92 bc	BRIEFCASE
U+1F4BD	💽	f0 9f 92 bd	MINIDISC
U+1F4BE	💾	f0 9f 92 be	FLOPPY DISK
U+1F4BF	💿	f0 9f 92 bf	OPTICAL DISC
U+1F4C0	📀	f0 9f 93 80	DVD
U+1F4C1	📁	f0 9f 93 81	FILE FOLDER
U+1F4C2	📂	f0 9f 93 82	OPEN FILE FOLDER
U+1F4C3	📃	f0 9f 93 83	PAGE WITH CURL
U+1F4C4	📄	f0 9f 93 84	PAGE FACING UP
U+1F4C5	📅	f0 9f 93 85	CALENDAR
U+1F4C6	📆	f0 9f 93 86	TEAR-OFF CALENDAR
U+1F4C7	📇	f0 9f 93 87	CARD INDEX
U+1F4C8	📈	f0 9f 93 88	CHART WITH UPWARDS TREND
U+1F4C9	📉	f0 9f 93 89	CHART WITH DOWNWARDS TREND
U+1F4CA	📊	f0 9f 93 8a	BAR CHART
U+1F4CB	📋	f0 9f 93 8b	CLIPBOARD
U+1F4CC	📌	f0 9f 93 8c	PUSHPIN
U+1F4CD	📍	f0 9f 93 8d	ROUND PUSHPIN
U+1F4CE	📎	f0 9f 93 8e	PAPERCLIP
U+1F4CF	📏	f0 9f 93 8f	STRAIGHT RULER
U+1F4D0	📐	f0 9f 93 90	TRIANGULAR RULER
U+1F4D1	📑	f0 9f 93 91	BOOKMARK TABS
U+1F4D2	📒	f0 9f 93 92	LEDGER
U+1F4D3	📓	f0 9f 93 93	NOTEBOOK
U+1F4D4	📔	f0 9f 93 94	NOTEBOOK WITH DECORATIVE COVER
U+1F4D5	📕	f0 9f 93 95	CLOSED BOOK
U+1F4D6	📖	f0 9f 93 96	OPEN BOOK
U+1F4D7	📗	f0 9f 93 97	GREEN BOOK
U+1F4D8	📘	f0 9f 93 98	BLUE BOOK
U+1F4D9	📙	f0 9f 93 99	ORANGE BOOK
U+1F4DA	📚	f0 9f 93 9a	BOOKS
U+1F4DB	📛	f0 9f 93 9b	NAME BADGE
U+1F4DC	📜	f0 9f 93 9c	SCROLL
U+1F4DD	📝	f0 9f 93 9d	MEMO
U+1F4DE	📞	f0 9f 93 9e	TELEPHONE RECEIVER
U+1F4DF	📟	f0 9f 93 9f	PAGER
U+1F4E0	📠	f0 9f 93 a0	FAX MACHINE
U+1F4E1	📡	f0 9f 93 a1	SATELLITE ANTENNA
U+1F4E2	📢	f0 9f 93 a2	PUBLIC ADDRESS LOUDSPEAKER
U+1F4E3	📣	f0 9f 93 a3	CHEERING MEGAPHONE
U+1F4E4	📤	f0 9f 93 a4	OUTBOX TRAY
U+1F4E5	📥	f0 9f 93 a5	INBOX TRAY
U+1F4E6	📦	f0 9f 93 a6	PACKAGE
U+1F4E7	📧	f0 9f 93 a7	E-MAIL SYMBOL
U+1F4E8	📨	f0 9f 93 a8	INCOMING ENVELOPE
U+1F4E9	📩	f0 9f 93 a9	ENVELOPE WITH DOWNWARDS ARROW ABOVE
U+1F4EA	📪	f0 9f 93 aa	CLOSED MAILBOX WITH LOWERED FLAG
U+1F4EB	📫	f0 9f 93 ab	CLOSED MAILBOX WITH RAISED FLAG
U+1F4EC	📬	f0 9f 93 ac	OPEN MAILBOX WITH RAISED FLAG
U+1F4ED	📭	f0 9f 93 ad	OPEN MAILBOX WITH LOWERED FLAG
U+1F4EE	📮	f0 9f 93 ae	POSTBOX
U+1F4EF	📯	f0 9f 93 af	POSTAL HORN
U+1F4F0	📰	f0 9f 93 b0	NEWSPAPER
U+1F4F1	📱	f0 9f 93 b1	MOBILE PHONE
U+1F4F2	📲	f0 9f 93 b2	MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
U+1F4F3	📳	f0 9f 93 b3	VIBRATION MODE
U+1F4F4	📴	f0 9f 93 b4	MOBILE PHONE OFF
U+1F4F5	📵	f0 9f 93 b5	NO MOBILE PHONES
U+1F4F6	📶	f0 9f 93 b6	ANTENNA WITH BARS
U+1F4F7	📷	f0 9f 93 b7	CAMERA
U+1F4F8	📸	f0 9f 93 b8	CAMERA WITH FLASH
U+1F4F9	📹	f0 9f 93 b9	VIDEO CAMERA
U+1F4FA	📺	f0 9f 93 ba	TELEVISION
U+1F4FB	📻	f0 9f 93 bb	RADIO
U+1F4FC	📼	f0 9f 93 bc	VIDEOCASSETTE
U+1F4FD	📽	f0 9f 93 bd	FILM PROJECTOR
U+1F4FE	📾	f0 9f 93 be	PORTABLE STEREO
U+1F4FF	📿	f0 9f 93 bf	PRAYER BEADS
U+1F600	😀	f0 9f 98 80	GRINNING FACE
U+1F601	😁	f0 9f 98 81	GRINNING FACE WITH SMILING EYES
U+1F602	😂	f0 9f 98 82	FACE WITH TEARS OF JOY
U+1F603	😃	f0 9f 98 83	SMILING FACE WITH OPEN MOUTH
U+1F604	😄	f0 9f 98 84	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
U+1F605	😅	f0 9f 98 85	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
U+1F606	😆	f0 9f 98 86	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
U+1F607	😇	f0 9f 98 87	SMILING FACE WITH HALO
U+1F608	😈	f0 9f 98 88	SMILING FACE WITH HORNS
U+1F609	😉	f0 9f 98 89	WINKING FACE
U+1F60A	😊	f0 9f 98 8a	SMILING FACE WITH SMILING EYES
U+1F60B	😋	f0 9f 98 8b	FACE SAVOURING DELICIOUS FOOD
U+1F60C	😌	f0 9f 98 8c	RELIEVED FACE
U+1F60D	😍	f0 9f 98 8d	SMILING FACE WITH HEART-SHAPED EYES
U+1F60E	😎	f0 9f 98 8e	SMILING FACE WITH SUNGLASSES
U+1F60F	😏	f0 9f 98 8f	SMIRKING FACE
U+1F610	😐	f0 9f 98 90	NEUTRAL FACE
U+1F611	😑	f0 9f 98 91	EXPRESSIONLESS FACE
U+1F612	😒	f0 9f 98 92	UNAMUSED FACE
U+1F613	😓	f0 9f 98 93	FACE WITH COLD SWEAT
U+1F614	😔	f0 9f 98 94	PENSIVE FACE
U+1F615	😕	f0 9f 98 95	CONFUSED FACE
U+1F616	😖	f0 9f 98 96	CONFOUNDED FACE
U+1F617	😗	f0 9f 98 97	KISSING FACE
U+1F618	😘	f0 9f 98 98	FACE THROWING A KISS
U+1F619	😙	f0 9f 98 99	KISSING FACE WITH SMILING EYES
U+1F61A	😚	f0 9f 98 9a	KISSING FACE WITH CLOSED EYES
U+1F61B	😛	f0 9f 98 9b	FACE WITH STUCK-OUT TONGUE
U+1F61C	😜	f0 9f 98 9c	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
U+1F61D	😝	f0 9f 98 9d	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
U+1F61E	😞	f0 9f 98 9e	DISAPPOINTED FACE
U+1F61F	😟	f0 9f 98 9f	WORRIED FACE
U+1F620	😠	f0 9f 98 a0	ANGRY FACE
U+1F621	😡	f0 9f 98 a1	POUTING FACE
U+1F622	😢	f0 9f 98 a2	CRYING FACE
U+1F623	😣	f0 9f 98 a3	PERSEVERING FACE
U+1F624	😤	f0 9f 98 a4	FACE WITH LOOK OF TRIUMPH
U+1F625	😥	f0 9f 98 a5	DISAPPOINTED BUT RELIEVED FACE
U+1F626	😦	f0 9f 98 a6	FROWNING FACE WITH OPEN MOUTH
U+1F627	😧	f0 9f 98 a7	ANGUISHED FACE
U+1F628	😨	f0 9f 98 a8	FEARFUL FACE
U+1F629	😩	f0 9f 98 a9	WEARY FACE
U+1F62A	😪	f0 9f 98 aa	SLEEPY FACE
U+1F62B	😫	f0 9f 98 ab	TIRED FACE
U+1F62C	😬	f0 9f 98 ac	GRIMACING FACE
U+1F62D	😭	f0 9f 98 ad	LOUDLY CRYING FACE
U+1F62E	😮	f0 9f 98 ae	FACE WITH OPEN MOUTH
U+1F62F	😯	f0 9f 98 af	HUSHED FACE
U+1F630	😰	f0 9f 98 b0	FACE WITH OPEN MOUTH AND COLD SWEAT
U+1F631	😱	f0 9f 98 b1	FACE SCREAMING IN FEAR
U+1F632	😲	f0 9f 98 b2	ASTONISHED FACE
U+1F633	😳	f0 9f 98 b3	FLUSHED FACE
U+1F634	😴	f0 9f 98 b4	SLEEPING FACE
U+1F635	😵	f0 9f 98 b5	DIZZY FACE
U+1F636	😶	f0 9f 98 b6	FACE WITHOUT MOUTH
U+1F637	😷	f0 9f 98 b7	FACE WITH MEDICAL MASK
U+1F638	😸	f0 9f 98 b8	GRINNING CAT FACE WITH SMILING EYES
U+1F639	😹	f0 9f 98 b9	CAT FACE WITH TEARS OF JOY
U+1F63A	😺	f0 9f 98 ba	SMILING CAT FACE WITH OPEN MOUTH
U+1F63B	😻	f0 9f 98 bb	SMILING CAT FACE WITH HEART-SHAPED EYES
U+1F63C	😼	f0 9f 98 bc	CAT FACE WITH WRY SMILE
U+1F63D	😽	f0 9f 98 bd	KISSING CAT FACE WITH CLOSED EYES
U+1F63E	😾	f0 9f 98 be	POUTING CAT FACE
U+1F63F	😿	f0 9f 98 bf	CRYING CAT FACE
U+1F640	🙀	f0 9f 99 80	WEARY CAT FACE
U+1F641	🙁	f0 9f 99 81	SLIGHTLY FROWNING FACE
U+1F642	🙂	f0 9f 99 82	SLIGHTLY SMILING FACE
U+1F643	🙃	f0 9f 99 83	UPSIDE-DOWN FACE
U+1F644	🙄	f0 9f 99 84	FACE WITH ROLLING EYES
U+1F645	🙅	f0 9f 99 85	FACE WITH NO GOOD GESTURE
U+1F646	🙆	f0 9f 99 86	FACE WITH OK GESTURE
U+1F647	🙇	f0 9f 99 87	PERSON BOWING DEEPLY
U+1F648	🙈	f0 9f 99 88	SEE-NO-EVIL MONKEY
U+1F649	🙉	f0 9f 99 89	HEAR-NO-EVIL MONKEY
U+1F64A	🙊	f0 9f 99 8a	SPEAK-NO-EVIL MONKEY
U+1F64B	🙋	f0 9f 99 8b	HAPPY PERSON RAISING ONE HAND
U+1F64C	🙌	f0 9f 99 8c	PERSON RAISING BOTH HANDS IN CELEBRATION
U+1F64D	🙍	f0 9f 99 8d	PERSON FROWNING
U+1F64E	🙎	f0 9f 99 8e	PERSON WITH POUTING FACE
U+1F64F	🙏	f0 9f 99 8f	PERSON WITH FOLDED HANDS
U+1F650	🙐	f0 9f 99 90	NORTH WEST POINTING LEAF
U+1F651	🙑	f0 9f 99 91	SOUTH WEST POINTING LEAF
U+1F652	🙒	f0 9f 99 92	NORTH EAST POINTING LEAF
U+1F653	🙓	f0 9f 99 93	SOUTH EAST POINTING LEAF
U+1F654	🙔	f0 9f 99 94	TURNED NORTH WEST POINTING LEAF
U+1F655	🙕	f0 9f 99 95	TURNED SOUTH WEST POINTING LEAF
U+1F656	🙖	f0 9f 99 96	TURNED NORTH EAST POINTING LEAF
U+1F657	🙗	f0 9f 99 97	TURNED SOUTH EAST POINTING LEAF
U+1F658	🙘	f0 9f 99 98	NORTH WEST POINTING VINE LEAF
U+1F659	🙙	f0 9f 99 99	SOUTH WEST POINTING VINE LEAF
U+1F65A	🙚	f0 9f 99 9a	NORTH EAST POINTING VINE LEAF
U+1F65B	🙛	f0 9f 99 9b	SOUTH EAST POINTING VINE LEAF
U+1F65C	🙜	f0 9f 99 9c	HEAVY NORTH WEST POINTING VINE LEAF
U+1F65D	🙝	f0 9f 99 9d	HEAVY SOUTH WEST POINTING VINE LEAF
U+1F65E	🙞	f0 9f 99 9e	HEAVY NORTH EAST POINTING VINE LEAF
U+1F65F	🙟	f0 9f 99 9f	HEAVY SOUTH EAST POINTING VINE LEAF
U+1F660	🙠	f0 9f 99 a0	NORTH WEST POINTING BUD
U+1F661	🙡	f0 9f 99 a1	SOUTH WEST POINTING BUD
U+1F662	🙢	f0 9f 99 a2	NORTH EAST POINTING BUD
U+1F663	🙣	f0 9f 99 a3	SOUTH EAST POINTING BUD
U+1F664	🙤	f0 9f 99 a4	HEAVY NORTH WEST POINTING BUD
U+1F665	🙥	f0 9f 99 a5	HEAVY SOUTH WEST POINTING BUD
U+1F666	🙦	f0 9f 99 a6	HEAVY NORTH EAST POINTING BUD
U+1F667	🙧	f0 9f 99 a7	HEAVY SOUTH EAST POINTING BUD
U+1F668	🙨	f0 9f 99 a8	HOLLOW QUILT SQUARE ORNAMENT
U+1F669	🙩	f0 9f 99 a9	HOLLOW QUILT SQUARE ORNAMENT IN BLACK SQUARE
U+1F66A	🙪	f0 9f 99 aa	SOLID QUILT SQUARE ORNAMENT
U+1F66B	🙫	f0 9f 99 ab	SOLID QUILT SQUARE ORNAMENT IN BLACK SQUARE
U+1F66C	🙬	f0 9f 99 ac	LEFTWARDS ROCKET
U+1F66D	🙭	f0 9f 99 ad	UPWARDS ROCKET
U+1F66E	🙮	f0 9f 99 ae	RIGHTWARDS ROCKET
U+1F66F	🙯	f0 9f 99 af	DOWNWARDS ROCKET
U+1F670	🙰	f0 9f 99 b0	SCRIPT LIGATURE ET ORNAMENT
U+1F671	🙱	f0 9f 99 b1	HEAVY SCRIPT LIGATURE ET ORNAMENT
U+1F672	🙲	f0 9f 99 b2	LIGATURE OPEN ET ORNAMENT
U+1F673	🙳	f0 9f 99 b3	HEAVY LIGATURE OPEN ET ORNAMENT
U+1F674	🙴	f0 9f 99 b4	HEAVY AMPERSAND ORNAMENT
U+1F675	🙵	f0 9f 99 b5	SWASH AMPERSAND ORNAMENT
U+1F676	🙶	f0 9f 99 b6	SANS-SERIF HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
U+1F677	🙷	f0 9f 99 b7	SANS-SERIF HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
U+1F678	🙸	f0 9f 99 b8	SANS-SERIF HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
U+1F679	🙹	f0 9f 99 b9	HEAVY INTERROBANG ORNAMENT
U+1F67A	🙺	f0 9f 99 ba	SANS-SERIF INTERROBANG ORNAMENT
U+1F67B	🙻	f0 9f 99 bb	HEAVY SANS-SERIF INTERROBANG ORNAMENT
U+1F67C	🙼	f0 9f 99 bc	VERY HEAVY SOLIDUS
U+1F67D	🙽	f0 9f 99 bd	VERY HEAVY REVERSE SOLIDUS
U+1F67E	🙾	f0 9f 99 be	CHECKER BOARD
U+1F67F	🙿	f0 9f 99 bf	REVERSE CHECKER BOARD
U+1F680	🚀	f0 9f 9a 80	ROCKET
U+1F681	🚁	f0 9f 9a 81	HELICOPTER
U+1F682	🚂	f0 9f 9a 82	STEAM LOCOMOTIVE
U+1F683	🚃	f0 9f 9a 83	RAILWAY CAR
U+1F684	🚄	f0 9f 9a 84	HIGH-SPEED TRAIN
U+1F685	🚅	f0 9f 9a 85	HIGH-SPEED TRAIN WITH BULLET NOSE
U+1F686	🚆	f0 9f 9a 86	TRAIN
U+1F687	🚇	f0 9f 9a 87	METRO
U+1F688	🚈	f0 9f 9a 88	LIGHT RAIL
U+1F689	🚉	f0 9f 9a 89	STATION
U+1F68A	🚊	f0 9f 9a 8a	TRAM
U+1F68B	🚋	f0 9f 9a 8b	TRAM CAR
U+1F68C	🚌	f0 9f 9a 8c	BUS
U+1F68D	🚍	f0 9f 9a 8d	ONCOMING BUS
U+1F68E	🚎	f0 9f 9a 8e	TROLLEYBUS
U+1F68F	🚏	f0 9f 9a 8f	BUS STOP
U+1F690	🚐	f0 9f 9a 90	MINIBUS
U+1F691	🚑	f0 9f 9a 91	AMBULANCE
U+1F692	🚒	f0 9f 9a 92	FIRE ENGINE
U+1F693	🚓	f0 9f 9a 93	POLICE CAR
U+1F694	🚔	f0 9f 9a 94	ONCOMING POLICE CAR
U+1F695	🚕	f0 9f 9a 95	TAXI
U+1F696	🚖	f0 9f 9a 96	ONCOMING TAXI
U+1F697	🚗	f0 9f 9a 97	AUTOMOBILE
U+1F698	🚘	f0 9f 9a 98	ONCOMING AUTOMOBILE
U+1F699	🚙	f0 9f 9a 99	RECREATIONAL VEHICLE
U+1F69A	🚚	f0 9f 9a 9a	DELIVERY TRUCK
U+1F69B	🚛	f0 9f 9a 9b	ARTICULATED LORRY
U+1F69C	🚜	f0 9f 9a 9c	TRACTOR
U+1F69D	🚝	f0 9f 9a 9d	MONORAIL
U+1F69E	🚞	f0 9f 9a 9e	MOUNTAIN RAILWAY
U+1F69F	🚟	f0 9f 9a 9f	SUSPENSION RAILWAY
U+1F6A0	🚠	f0 9f 9a a0	MOUNTAIN CABLEWAY
U+1F6A1	🚡	f0 9f 9a a1	AERIAL TRAMWAY
U+1F6A2	🚢	f0 9f 9a a2	SHIP
U+1F6A3	🚣	f0 9f 9a a3	ROWBOAT
U+1F6A4	🚤	f0 9f 9a a4	SPEEDBOAT
U+1F6A5	🚥	f0 9f 9a a5	HORIZONTAL TRAFFIC LIGHT
U+1F6A6	🚦	f0 9f 9a a6	VERTICAL TRAFFIC LIGHT
U+1F6A7	🚧	f0 9f 9a a7	CONSTRUCTION SIGN
U+1F6A8	🚨	f0 9f 9a a8	POLICE CARS REVOLVING LIGHT
U+1F6A9	🚩	f0 9f 9a a9	TRIANGULAR FLAG ON POST
U+1F6AA	🚪	f0 9f 9a aa	DOOR
U+1F6AB	🚫	f0 9f 9a ab	NO ENTRY SIGN
U+1F6AC	🚬	f0 9f 9a ac	SMOKING SYMBOL
U+1F6AD	🚭	f0 9f 9a ad	NO SMOKING SYMBOL
U+1F6AE	🚮	f0 9f 9a ae	PUT LITTER IN ITS PLACE SYMBOL
U+1F6AF	🚯	f0 9f 9a af	DO NOT LITTER SYMBOL
U+1F6B0	🚰	f0 9f 9a b0	POTABLE WATER SYMBOL
U+1F6B1	🚱	f0 9f 9a b1	NON-POTABLE WATER SYMBOL
U+1F6B2	🚲	f0 9f 9a b2	BICYCLE
U+1F6B3	🚳	f0 9f 9a b3	NO BICYCLES
U+1F6B4	🚴	f0 9f 9a b4	BICYCLIST
U+1F6B5	🚵	f0 9f 9a b5	MOUNTAIN BICYCLIST
U+1F6B6	🚶	f0 9f 9a b6	PEDESTRIAN
U+1F6B7	🚷	f0 9f 9a b7	NO PEDESTRIANS
U+1F6B8	🚸	f0 9f 9a b8	CHILDREN CROSSING
U+1F6B9	🚹	f0 9f 9a b9	MENS SYMBOL
U+1F6BA	🚺	f0 9f 9a ba	WOMENS SYMBOL
U+1F6BB	🚻	f0 9f 9a bb	RESTROOM
U+1F6BC	🚼	f0 9f 9a bc	BABY SYMBOL
U+1F6BD	🚽	f0 9f 9a bd	TOILET
U+1F6BE	🚾	f0 9f 9a be	WATER CLOSET
U+1F6BF	🚿	f0 9f 9a bf	SHOWER
U+1F6C0	🛀	f0 9f 9b 80	BATH
U+1F6C1	🛁	f0 9f 9b 81	BATHTUB
U+1F6C2	🛂	f0 9f 9b 82	PASSPORT CONTROL
U+1F6C3	🛃	f0 9f 9b 83	CUSTOMS
U+1F6C4	🛄	f0 9f 9b 84	BAGGAGE CLAIM
U+1F6C5	🛅	f0 9f 9b 85	LEFT LUGGAGE
U+1F6C6	🛆	f0 9f 9b 86	TRIANGLE WITH ROUNDED CORNERS
U+1F6C7	🛇	f0 9f 9b 87	PROHIBITED SIGN
U+1F6C8	🛈	f0 9f 9b 88	CIRCLED INFORMATION SOURCE
U+1F6C9	🛉	f0 9f 9b 89	BOYS SYMBOL
U+1F6CA	🛊	f0 9f 9b 8a	GIRLS SYMBOL
U+1F6CB	🛋	f0 9f 9b 8b	COUCH AND LAMP
U+1F6CC	🛌	f0 9f 9b 8c	SLEEPING ACCOMMODATION
U+1F6CD	🛍	f0 9f 9b 8d	SHOPPING BAGS
U+1F6CE	🛎	f0 9f 9b 8e	BELLHOP BELL
U+1F6CF	🛏	f0 9f 9b 8f	BED
U+1F6D0	🛐	f0 9f 9b 90	PLACE OF WORSHIP
U+1F6D1	🛑	f0 9f 9b 91	OCTAGONAL SIGN
U+1F6D2	🛒	f0 9f 9b 92	SHOPPING TROLLEY
U+1F6D3	🛓	f0 9f 9b 93	STUPA
U+1F6D4	🛔	f0 9f 9b 94	PAGODA
U+1F6D5	🛕	f0 9f 9b 95	HINDU TEMPLE
U+1F6D6	🛖	f0 9f 9b 96	HUT
U+1F6D7	🛗	f0 9f 9b 97	ELEVATOR
U+1F6D8	🛘	f0 9f 9b 98	
U+1F6D9	🛙	f0 9f 9b 99	
U+1F6DA	🛚	f0 9f 9b 9a	
U+1F6DB	🛛	f0 9f 9b 9b	
U+1F6DC	🛜	f0 9f 9b 9c	
U+1F6DD	🛝	f0 9f 9b 9d	
U+1F6DE	🛞	f0 9f 9b 9e	
U+1F6DF	🛟	f0 9f 9b 9f	
U+1F6E0	🛠	f0 9f 9b a0	HAMMER AND WRENCH
U+1F6E1	🛡	f0 9f 9b a1	SHIELD
U+1F6E2	🛢	f0 9f 9b a2	OIL DRUM
U+1F6E3	🛣	f0 9f 9b a3	MOTORWAY
U+1F6E4	🛤	f0 9f 9b a4	RAILWAY TRACK
U+1F6E5	🛥	f0 9f 9b a5	MOTOR BOAT
U+1F6E6	🛦	f0 9f 9b a6	UP-POINTING MILITARY AIRPLANE
U+1F6E7	🛧	f0 9f 9b a7	UP-POINTING AIRPLANE
U+1F6E8	🛨	f0 9f 9b a8	UP-POINTING SMALL AIRPLANE
U+1F6E9	🛩	f0 9f 9b a9	SMALL AIRPLANE
U+1F6EA	🛪	f0 9f 9b aa	NORTHEAST-POINTING AIRPLANE
U+1F6EB	🛫	f0 9f 9b ab	AIRPLANE DEPARTURE
U+1F6EC	🛬	f0 9f 9b ac	AIRPLANE ARRIVING
U+1F6ED	🛭	f0 9f 9b ad	
U+1F6EE	🛮	f0 9f 9b ae	
U+1F6EF	🛯	f0 9f 9b af	
U+1F6F0	🛰	f0 9f 9b b0	SATELLITE
U+1F6F1	🛱	f0 9f 9b b1	ONCOMING FIRE ENGINE
U+1F6F2	🛲	f0 9f 9b b2	DIESEL LOCOMOTIVE
U+1F6F3	🛳	f0 9f 9b b3	PASSENGER SHIP
U+1F6F4	🛴	f0 9f 9b b4	SCOOTER
U+1F6F5	🛵	f0 9f 9b b5	MOTOR SCOOTER
U+1F6F6	🛶	f0 9f 9b b6	CANOE
U+1F6F7	🛷	f0 9f 9b b7	SLED
U+1F6F8	🛸	f0 9f 9b b8	FLYING SAUCER
U+1F6F9	🛹	f0 9f 9b b9	SKATEBOARD
U+1F6FA	🛺	f0 9f 9b ba	AUTO RICKSHAW
U+1F6FB	🛻	f0 9f 9b bb	PICKUP TRUCK
U+1F6FC	🛼	f0 9f 9b bc	ROLLER SKATE
U+1FA70	🩰	f0 9f a9 b0	BALLET SHOES
U+1FA71	🩱	f0 9f a9 b1	ONE-PIECE SWIMSUIT
U+1FA72	🩲	f0 9f a9 b2	BRIEFS
U+1FA73	🩳	f0 9f a9 b3	SHORTS
U+1FA74	🩴	f0 9f a9 b4	THONG SANDAL
U+1FA75	🩵	f0 9f a9 b5	
U+1FA76	🩶	f0 9f a9 b6	
U+1FA77	🩷	f0 9f a9 b7	
U+1FA78	🩸	f0 9f a9 b8	DROP OF BLOOD
U+1FA79	🩹	f0 9f a9 b9	ADHESIVE BANDAGE
U+1FA7A	🩺	f0 9f a9 ba	STETHOSCOPE
U+1FA7B	🩻	f0 9f a9 bb	
U+1FA7C	🩼	f0 9f a9 bc	
U+1FA7D	🩽	f0 9f a9 bd	
U+1FA7E	🩾	f0 9f a9 be	
U+1FA7F	🩿	f0 9f a9 bf	
U+1FA80	🪀	f0 9f aa 80	YO-YO
U+1FA81	🪁	f0 9f aa 81	KITE
U+1FA82	🪂	f0 9f aa 82	PARACHUTE
U+1FA83	🪃	f0 9f aa 83	BOOMERANG
U+1FA84	🪄	f0 9f aa 84	MAGIC WAND
U+1FA85	🪅	f0 9f aa 85	PINATA
U+1FA86	🪆	f0 9f aa 86	NESTING DOLLS
U+1FA87	🪇	f0 9f aa 87	
U+1FA88	🪈	f0 9f aa 88	
U+1FA89	🪉	f0 9f aa 89	
U+1FA8A	🪊	f0 9f aa 8a	
U+1FA8B	🪋	f0 9f aa 8b	
U+1FA8C	🪌	f0 9f aa 8c	
U+1FA8D	🪍	f0 9f aa 8d	
U+1FA8E	🪎	f0 9f aa 8e	
U+1FA8F	🪏	f0 9f aa 8f	
U+1FA90	🪐	f0 9f aa 90	RINGED PLANET
U+1FA91	🪑	f0 9f aa 91	CHAIR
U+1FA92	🪒	f0 9f aa 92	RAZOR
U+1FA93	🪓	f0 9f aa 93	AXE
U+1FA94	🪔	f0 9f aa 94	DIYA LAMP
U+1FA95	🪕	f0 9f aa 95	BANJO
U+1FA96	🪖	f0 9f aa 96	MILITARY HELMET
U+1FA97	🪗	f0 9f aa 97	ACCORDION
U+1FA98	🪘	f0 9f aa 98	LONG DRUM
U+1FA99	🪙	f0 9f aa 99	COIN
U+1FA9A	🪚	f0 9f aa 9a	CARPENTRY SAW
U+1FA9B	🪛	f0 9f aa 9b	SCREWDRIVER
U+1FA9C	🪜	f0 9f aa 9c	LADDER
U+1FA9D	🪝	f0 9f aa 9d	HOOK
U+1FA9E	🪞	f0 9f aa 9e	MIRROR
U+1FA9F	🪟	f0 9f aa 9f	WINDOW
U+1FAA0	🪠	f0 9f aa a0	PLUNGER
U+1FAA1	🪡	f0 9f aa a1	SEWING NEEDLE
U+1FAA2	🪢	f0 9f aa a2	KNOT
U+1FAA3	🪣	f0 9f aa a3	BUCKET
U+1FAA4	🪤	f0 9f aa a4	MOUSE TRAP
U+1FAA5	🪥	f0 9f aa a5	TOOTHBRUSH
U+1FAA6	🪦	f0 9f aa a6	HEADSTONE
U+1FAA7	🪧	f0 9f aa a7	PLACARD
U+1FAA8	🪨	f0 9f aa a8	ROCK
U+1FAA9	🪩	f0 9f aa a9	
U+1FAAA	🪪	f0 9f aa aa	
U+1FAAB	🪫	f0 9f aa ab	
U+1FAAC	🪬	f0 9f aa ac	
U+1FAAD	🪭	f0 9f aa ad	
U+1FAAE	🪮	f0 9f aa ae	
U+1FAAF	🪯	f0 9f aa af	
U+1FAB0	🪰	f0 9f aa b0	FLY
U+1FAB1	🪱	f0 9f aa b1	WORM
U+1FAB2	🪲	f0 9f aa b2	BEETLE
U+1FAB3	🪳	f0 9f aa b3	COCKROACH
U+1FAB4	🪴	f0 9f aa b4	POTTED PLANT
U+1FAB5	🪵	f0 9f aa b5	WOOD
U+1FAB6	🪶	f0 9f aa b6	FEATHER
U+1FAB7	🪷	f0 9f aa b7	
U+1FAB8	🪸	f0 9f aa b8	
U+1FAB9	🪹	f0 9f aa b9	
U+1FABA	🪺	f0 9f aa ba	
U+1FABB	🪻	f0 9f aa bb	
U+1FABC	🪼	f0 9f aa bc	
U+1FABD	🪽	f0 9f aa bd	
U+1FABE	🪾	f0 9f aa be	
U+1FABF	🪿	f0 9f aa bf	
U+1FAC0	🫀	f0 9f ab 80	ANATOMICAL HEART
U+1FAC1	🫁	f0 9f ab 81	LUNGS
U+1FAC2	🫂	f0 9f ab 82	PEOPLE HUGGING
U+1FAC3	🫃	f0 9f ab 83	
U+1FAC4	🫄	f0 9f ab 84	
U+1FAC5	🫅	f0 9f ab 85	
U+1FAC6	🫆	f0 9f ab 86	
U+1FAC7	🫇	f0 9f ab 87	
U+1FAC8	🫈	f0 9f ab 88	
U+1FAC9	🫉	f0 9f ab 89	
