character	Unicode	BORRAR1	BORRAR2	UTF-8	BORRAR3	name	
👙	U+1F459	&#x1F459;	&#128089;	F0 9F 91 99	\u1F459	Bikini
👚	U+1F45A	&#x1F45A;	&#128090;	F0 9F 91 9A	\u1F45A	Womans Clothes
👛	U+1F45B	&#x1F45B;	&#128091;	F0 9F 91 9B	\u1F45B	Purse
👜	U+1F45C	&#x1F45C;	&#128092;	F0 9F 91 9C	\u1F45C	Handbag
👝	U+1F45D	&#x1F45D;	&#128093;	F0 9F 91 9D	\u1F45D	Pouch
👞	U+1F45E	&#x1F45E;	&#128094;	F0 9F 91 9E	\u1F45E	Mans Shoe
👟	U+1F45F	&#x1F45F;	&#128095;	F0 9F 91 9F	\u1F45F	Athletic Shoe
👠	U+1F460	&#x1F460;	&#128096;	F0 9F 91 A0	\u1F460	High-heeled Shoe
👡	U+1F461	&#x1F461;	&#128097;	F0 9F 91 A1	\u1F461	Womans Sandal
👢	U+1F462	&#x1F462;	&#128098;	F0 9F 91 A2	\u1F462	Womans Boots
👣	U+1F463	&#x1F463;	&#128099;	F0 9F 91 A3	\u1F463	Footprints
👤	U+1F464	&#x1F464;	&#128100;	F0 9F 91 A4	\u1F464	Bust In Silhouette
👥	U+1F465	&#x1F465;	&#128101;	F0 9F 91 A5	\u1F465	Busts In Silhouette
👦	U+1F466	&#x1F466;	&#128102;	F0 9F 91 A6	\u1F466	Boy
👧	U+1F467	&#x1F467;	&#128103;	F0 9F 91 A7	\u1F467	Girl
👨	U+1F468	&#x1F468;	&#128104;	F0 9F 91 A8	\u1F468	Man
👩	U+1F469	&#x1F469;	&#128105;	F0 9F 91 A9	\u1F469	Woman
👪	U+1F46A	&#x1F46A;	&#128106;	F0 9F 91 AA	\u1F46A	Family
👫	U+1F46B	&#x1F46B;	&#128107;	F0 9F 91 AB	\u1F46B	Man And Woman Holding Hands
👬	U+1F46C	&#x1F46C;	&#128108;	F0 9F 91 AC	\u1F46C	Two Men Holding Hands
👭	U+1F46D	&#x1F46D;	&#128109;	F0 9F 91 AD	\u1F46D	Two Women Holding Hands
👮	U+1F46E	&#x1F46E;	&#128110;	F0 9F 91 AE	\u1F46E	Police Officer
👯	U+1F46F	&#x1F46F;	&#128111;	F0 9F 91 AF	\u1F46F	Woman With Bunny Ears
👰	U+1F470	&#x1F470;	&#128112;	F0 9F 91 B0	\u1F470	Bride With Veil
👱	U+1F471	&#x1F471;	&#128113;	F0 9F 91 B1	\u1F471	Person With Blond Hair
👲	U+1F472	&#x1F472;	&#128114;	F0 9F 91 B2	\u1F472	Man With Gua Pi Mao
👳	U+1F473	&#x1F473;	&#128115;	F0 9F 91 B3	\u1F473	Man With Turban
👴	U+1F474	&#x1F474;	&#128116;	F0 9F 91 B4	\u1F474	Older Man
👵	U+1F475	&#x1F475;	&#128117;	F0 9F 91 B5	\u1F475	Older Woman
👶	U+1F476	&#x1F476;	&#128118;	F0 9F 91 B6	\u1F476	Baby
👷	U+1F477	&#x1F477;	&#128119;	F0 9F 91 B7	\u1F477	Construction Worker
👸	U+1F478	&#x1F478;	&#128120;	F0 9F 91 B8	\u1F478	Princess
👹	U+1F479	&#x1F479;	&#128121;	F0 9F 91 B9	\u1F479	Japanese Ogre
👺	U+1F47A	&#x1F47A;	&#128122;	F0 9F 91 BA	\u1F47A	Japanese Goblin
👻	U+1F47B	&#x1F47B;	&#128123;	F0 9F 91 BB	\u1F47B	Ghost
👼	U+1F47C	&#x1F47C;	&#128124;	F0 9F 91 BC	\u1F47C	Baby Angel
👽	U+1F47D	&#x1F47D;	&#128125;	F0 9F 91 BD	\u1F47D	Extraterrestrial Alien
👾	U+1F47E	&#x1F47E;	&#128126;	F0 9F 91 BE	\u1F47E	Alien Monster
👿	U+1F47F	&#x1F47F;	&#128127;	F0 9F 91 BF	\u1F47F	Imp
💀	U+1F480	&#x1F480;	&#128128;	F0 9F 92 80	\u1F480	Skull
💁	U+1F481	&#x1F481;	&#128129;	F0 9F 92 81	\u1F481	Information Desk Person
💂	U+1F482	&#x1F482;	&#128130;	F0 9F 92 82	\u1F482	Guardsman
💃	U+1F483	&#x1F483;	&#128131;	F0 9F 92 83	\u1F483	Dancer
💄	U+1F484	&#x1F484;	&#128132;	F0 9F 92 84	\u1F484	Lipstick
💅	U+1F485	&#x1F485;	&#128133;	F0 9F 92 85	\u1F485	Nail Polish
💆	U+1F486	&#x1F486;	&#128134;	F0 9F 92 86	\u1F486	Face Massage
💇	U+1F487	&#x1F487;	&#128135;	F0 9F 92 87	\u1F487	Haircut
💈	U+1F488	&#x1F488;	&#128136;	F0 9F 92 88	\u1F488	Barber Pole
💉	U+1F489	&#x1F489;	&#128137;	F0 9F 92 89	\u1F489	Syringe
💊	U+1F48A	&#x1F48A;	&#128138;	F0 9F 92 8A	\u1F48A	Pill
💋	U+1F48B	&#x1F48B;	&#128139;	F0 9F 92 8B	\u1F48B	Kiss Mark
💌	U+1F48C	&#x1F48C;	&#128140;	F0 9F 92 8C	\u1F48C	Love Letter
💍	U+1F48D	&#x1F48D;	&#128141;	F0 9F 92 8D	\u1F48D	Ring
💎	U+1F48E	&#x1F48E;	&#128142;	F0 9F 92 8E	\u1F48E	Gem Stone
💏	U+1F48F	&#x1F48F;	&#128143;	F0 9F 92 8F	\u1F48F	Kiss
💐	U+1F490	&#x1F490;	&#128144;	F0 9F 92 90	\u1F490	Bouquet
💑	U+1F491	&#x1F491;	&#128145;	F0 9F 92 91	\u1F491	Couple With Heart
💒	U+1F492	&#x1F492;	&#128146;	F0 9F 92 92	\u1F492	Wedding
💓	U+1F493	&#x1F493;	&#128147;	F0 9F 92 93	\u1F493	Beating Heart
💔	U+1F494	&#x1F494;	&#128148;	F0 9F 92 94	\u1F494	Broken Heart
💕	U+1F495	&#x1F495;	&#128149;	F0 9F 92 95	\u1F495	Two Hearts
💖	U+1F496	&#x1F496;	&#128150;	F0 9F 92 96	\u1F496	Sparkling Heart
💗	U+1F497	&#x1F497;	&#128151;	F0 9F 92 97	\u1F497	Growing Heart
💘	U+1F498	&#x1F498;	&#128152;	F0 9F 92 98	\u1F498	Heart With Arrow
💙	U+1F499	&#x1F499;	&#128153;	F0 9F 92 99	\u1F499	Blue Heart
💚	U+1F49A	&#x1F49A;	&#128154;	F0 9F 92 9A	\u1F49A	Green Heart
💛	U+1F49B	&#x1F49B;	&#128155;	F0 9F 92 9B	\u1F49B	Yellow Heart
💜	U+1F49C	&#x1F49C;	&#128156;	F0 9F 92 9C	\u1F49C	Purple Heart
💝	U+1F49D	&#x1F49D;	&#128157;	F0 9F 92 9D	\u1F49D	Heart With Ribbon
💞	U+1F49E	&#x1F49E;	&#128158;	F0 9F 92 9E	\u1F49E	Revolving Hearts
💟	U+1F49F	&#x1F49F;	&#128159;	F0 9F 92 9F	\u1F49F	Heart Decoration
💠	U+1F4A0	&#x1F4A0;	&#128160;	F0 9F 92 A0	\u1F4A0	Diamond Shape With A Dot Inside
💡	U+1F4A1	&#x1F4A1;	&#128161;	F0 9F 92 A1	\u1F4A1	Electric Light Bulb
💢	U+1F4A2	&#x1F4A2;	&#128162;	F0 9F 92 A2	\u1F4A2	Anger Symbol
💣	U+1F4A3	&#x1F4A3;	&#128163;	F0 9F 92 A3	\u1F4A3	Bomb
💤	U+1F4A4	&#x1F4A4;	&#128164;	F0 9F 92 A4	\u1F4A4	Sleeping Symbol
💥	U+1F4A5	&#x1F4A5;	&#128165;	F0 9F 92 A5	\u1F4A5	Collision Symbol
💦	U+1F4A6	&#x1F4A6;	&#128166;	F0 9F 92 A6	\u1F4A6	Splashing Sweat Symbol
💧	U+1F4A7	&#x1F4A7;	&#128167;	F0 9F 92 A7	\u1F4A7	Droplet
💨	U+1F4A8	&#x1F4A8;	&#128168;	F0 9F 92 A8	\u1F4A8	Dash Symbol
💩	U+1F4A9	&#x1F4A9;	&#128169;	F0 9F 92 A9	\u1F4A9	Pile Of Poo
💪	U+1F4AA	&#x1F4AA;	&#128170;	F0 9F 92 AA	\u1F4AA	Flexed Biceps
💫	U+1F4AB	&#x1F4AB;	&#128171;	F0 9F 92 AB	\u1F4AB	Dizzy Symbol
💬	U+1F4AC	&#x1F4AC;	&#128172;	F0 9F 92 AC	\u1F4AC	Speech Balloon
💭	U+1F4AD	&#x1F4AD;	&#128173;	F0 9F 92 AD	\u1F4AD	Thought Balloon
💮	U+1F4AE	&#x1F4AE;	&#128174;	F0 9F 92 AE	\u1F4AE	White Flower
💯	U+1F4AF	&#x1F4AF;	&#128175;	F0 9F 92 AF	\u1F4AF	Hundred Points Symbol
💰	U+1F4B0	&#x1F4B0;	&#128176;	F0 9F 92 B0	\u1F4B0	Money Bag
💱	U+1F4B1	&#x1F4B1;	&#128177;	F0 9F 92 B1	\u1F4B1	Currency Exchange
💲	U+1F4B2	&#x1F4B2;	&#128178;	F0 9F 92 B2	\u1F4B2	Heavy Dollar Sign
💳	U+1F4B3	&#x1F4B3;	&#128179;	F0 9F 92 B3	\u1F4B3	Credit Card
💴	U+1F4B4	&#x1F4B4;	&#128180;	F0 9F 92 B4	\u1F4B4	Banknote With Yen Sign
💵	U+1F4B5	&#x1F4B5;	&#128181;	F0 9F 92 B5	\u1F4B5	Banknote With Dollar Sign
💶	U+1F4B6	&#x1F4B6;	&#128182;	F0 9F 92 B6	\u1F4B6	Banknote With Euro Sign
💷	U+1F4B7	&#x1F4B7;	&#128183;	F0 9F 92 B7	\u1F4B7	Banknote With Pound Sign
💸	U+1F4B8	&#x1F4B8;	&#128184;	F0 9F 92 B8	\u1F4B8	Money With Wings
💹	U+1F4B9	&#x1F4B9;	&#128185;	F0 9F 92 B9	\u1F4B9	Chart With Upwards Trend And Yen Sign
💺	U+1F4BA	&#x1F4BA;	&#128186;	F0 9F 92 BA	\u1F4BA	Seat
💻	U+1F4BB	&#x1F4BB;	&#128187;	F0 9F 92 BB	\u1F4BB	Personal Computer
💼	U+1F4BC	&#x1F4BC;	&#128188;	F0 9F 92 BC	\u1F4BC	Briefcase
💽	U+1F4BD	&#x1F4BD;	&#128189;	F0 9F 92 BD	\u1F4BD	Minidisc
💾	U+1F4BE	&#x1F4BE;	&#128190;	F0 9F 92 BE	\u1F4BE	Floppy Disk
💿	U+1F4BF	&#x1F4BF;	&#128191;	F0 9F 92 BF	\u1F4BF	Optical Disc
📀	U+1F4C0	&#x1F4C0;	&#128192;	F0 9F 93 80	\u1F4C0	Dvd
📁	U+1F4C1	&#x1F4C1;	&#128193;	F0 9F 93 81	\u1F4C1	File Folder
📂	U+1F4C2	&#x1F4C2;	&#128194;	F0 9F 93 82	\u1F4C2	Open File Folder
📃	U+1F4C3	&#x1F4C3;	&#128195;	F0 9F 93 83	\u1F4C3	Page With Curl
📄	U+1F4C4	&#x1F4C4;	&#128196;	F0 9F 93 84	\u1F4C4	Page Facing Up
📅	U+1F4C5	&#x1F4C5;	&#128197;	F0 9F 93 85	\u1F4C5	Calendar
📆	U+1F4C6	&#x1F4C6;	&#128198;	F0 9F 93 86	\u1F4C6	Tear-off Calendar
📇	U+1F4C7	&#x1F4C7;	&#128199;	F0 9F 93 87	\u1F4C7	Card Index
📈	U+1F4C8	&#x1F4C8;	&#128200;	F0 9F 93 88	\u1F4C8	Chart With Upwards Trend
📉	U+1F4C9	&#x1F4C9;	&#128201;	F0 9F 93 89	\u1F4C9	Chart With Downwards Trend
📊	U+1F4CA	&#x1F4CA;	&#128202;	F0 9F 93 8A	\u1F4CA	Bar Chart
📋	U+1F4CB	&#x1F4CB;	&#128203;	F0 9F 93 8B	\u1F4CB	Clipboard
📌	U+1F4CC	&#x1F4CC;	&#128204;	F0 9F 93 8C	\u1F4CC	Pushpin
📍	U+1F4CD	&#x1F4CD;	&#128205;	F0 9F 93 8D	\u1F4CD	Round Pushpin
📎	U+1F4CE	&#x1F4CE;	&#128206;	F0 9F 93 8E	\u1F4CE	Paperclip
📏	U+1F4CF	&#x1F4CF;	&#128207;	F0 9F 93 8F	\u1F4CF	Straight Ruler
📐	U+1F4D0	&#x1F4D0;	&#128208;	F0 9F 93 90	\u1F4D0	Triangular Ruler
📑	U+1F4D1	&#x1F4D1;	&#128209;	F0 9F 93 91	\u1F4D1	Bookmark Tabs
📒	U+1F4D2	&#x1F4D2;	&#128210;	F0 9F 93 92	\u1F4D2	Ledger
📓	U+1F4D3	&#x1F4D3;	&#128211;	F0 9F 93 93	\u1F4D3	Notebook
📔	U+1F4D4	&#x1F4D4;	&#128212;	F0 9F 93 94	\u1F4D4	Notebook With Decorative Cover
📕	U+1F4D5	&#x1F4D5;	&#128213;	F0 9F 93 95	\u1F4D5	Closed Book
📖	U+1F4D6	&#x1F4D6;	&#128214;	F0 9F 93 96	\u1F4D6	Open Book
📗	U+1F4D7	&#x1F4D7;	&#128215;	F0 9F 93 97	\u1F4D7	Green Book
📘	U+1F4D8	&#x1F4D8;	&#128216;	F0 9F 93 98	\u1F4D8	Blue Book
📙	U+1F4D9	&#x1F4D9;	&#128217;	F0 9F 93 99	\u1F4D9	Orange Book
📚	U+1F4DA	&#x1F4DA;	&#128218;	F0 9F 93 9A	\u1F4DA	Books
📛	U+1F4DB	&#x1F4DB;	&#128219;	F0 9F 93 9B	\u1F4DB	Name Badge
📜	U+1F4DC	&#x1F4DC;	&#128220;	F0 9F 93 9C	\u1F4DC	Scroll
📝	U+1F4DD	&#x1F4DD;	&#128221;	F0 9F 93 9D	\u1F4DD	Memo
📞	U+1F4DE	&#x1F4DE;	&#128222;	F0 9F 93 9E	\u1F4DE	Telephone Receiver
📟	U+1F4DF	&#x1F4DF;	&#128223;	F0 9F 93 9F	\u1F4DF	Pager
📠	U+1F4E0	&#x1F4E0;	&#128224;	F0 9F 93 A0	\u1F4E0	Fax Machine
📡	U+1F4E1	&#x1F4E1;	&#128225;	F0 9F 93 A1	\u1F4E1	Satellite Antenna
📢	U+1F4E2	&#x1F4E2;	&#128226;	F0 9F 93 A2	\u1F4E2	Public Address Loudspeaker
📣	U+1F4E3	&#x1F4E3;	&#128227;	F0 9F 93 A3	\u1F4E3	Cheering Megaphone
📤	U+1F4E4	&#x1F4E4;	&#128228;	F0 9F 93 A4	\u1F4E4	Outbox Tray
📥	U+1F4E5	&#x1F4E5;	&#128229;	F0 9F 93 A5	\u1F4E5	Inbox Tray
📦	U+1F4E6	&#x1F4E6;	&#128230;	F0 9F 93 A6	\u1F4E6	Package
📧	U+1F4E7	&#x1F4E7;	&#128231;	F0 9F 93 A7	\u1F4E7	E-mail Symbol
📨	U+1F4E8	&#x1F4E8;	&#128232;	F0 9F 93 A8	\u1F4E8	Incoming Envelope
📩	U+1F4E9	&#x1F4E9;	&#128233;	F0 9F 93 A9	\u1F4E9	Envelope With Downwards Arrow Above
📪	U+1F4EA	&#x1F4EA;	&#128234;	F0 9F 93 AA	\u1F4EA	Closed Mailbox With Lowered Flag
📫	U+1F4EB	&#x1F4EB;	&#128235;	F0 9F 93 AB	\u1F4EB	Closed Mailbox With Raised Flag
📬	U+1F4EC	&#x1F4EC;	&#128236;	F0 9F 93 AC	\u1F4EC	Open Mailbox With Raised Flag
📭	U+1F4ED	&#x1F4ED;	&#128237;	F0 9F 93 AD	\u1F4ED	Open Mailbox With Lowered Flag
📮	U+1F4EE	&#x1F4EE;	&#128238;	F0 9F 93 AE	\u1F4EE	Postbox
📯	U+1F4EF	&#x1F4EF;	&#128239;	F0 9F 93 AF	\u1F4EF	Postal Horn
📰	U+1F4F0	&#x1F4F0;	&#128240;	F0 9F 93 B0	\u1F4F0	Newspaper
📱	U+1F4F1	&#x1F4F1;	&#128241;	F0 9F 93 B1	\u1F4F1	Mobile Phone
📲	U+1F4F2	&#x1F4F2;	&#128242;	F0 9F 93 B2	\u1F4F2	Mobile Phone With Rightwards Arrow At Left
📳	U+1F4F3	&#x1F4F3;	&#128243;	F0 9F 93 B3	\u1F4F3	Vibration Mode
📴	U+1F4F4	&#x1F4F4;	&#128244;	F0 9F 93 B4	\u1F4F4	Mobile Phone Off
📵	U+1F4F5	&#x1F4F5;	&#128245;	F0 9F 93 B5	\u1F4F5	No Mobile Phones
📶	U+1F4F6	&#x1F4F6;	&#128246;	F0 9F 93 B6	\u1F4F6	Antenna With Bars
📷	U+1F4F7	&#x1F4F7;	&#128247;	F0 9F 93 B7	\u1F4F7	Camera
📹	U+1F4F9	&#x1F4F9;	&#128249;	F0 9F 93 B9	\u1F4F9	Video Camera
📺	U+1F4FA	&#x1F4FA;	&#128250;	F0 9F 93 BA	\u1F4FA	Television
📻	U+1F4FB	&#x1F4FB;	&#128251;	F0 9F 93 BB	\u1F4FB	Radio
📼	U+1F4FC	&#x1F4FC;	&#128252;	F0 9F 93 BC	\u1F4FC	Videocassette
🔀	U+1F500	&#x1F500;	&#128256;	F0 9F 94 80	\u1F500	Twisted Rightwards Arrows
🔁	U+1F501	&#x1F501;	&#128257;	F0 9F 94 81	\u1F501	Clockwise Rightwards And Leftwards Open Circle Arrows
🔂	U+1F502	&#x1F502;	&#128258;	F0 9F 94 82	\u1F502	Clockwise Rightwards And Leftwards Open Circle Arrows With Circled One Overlay
🔃	U+1F503	&#x1F503;	&#128259;	F0 9F 94 83	\u1F503	Clockwise Downwards And Upwards Open Circle Arrows
🔄	U+1F504	&#x1F504;	&#128260;	F0 9F 94 84	\u1F504	Anticlockwise Downwards And Upwards Open Circle Arrows
🔅	U+1F505	&#x1F505;	&#128261;	F0 9F 94 85	\u1F505	Low Brightness Symbol
🔆	U+1F506	&#x1F506;	&#128262;	F0 9F 94 86	\u1F506	High Brightness Symbol
🔇	U+1F507	&#x1F507;	&#128263;	F0 9F 94 87	\u1F507	Speaker With Cancellation Stroke
🔈	U+1F508	&#x1F508;	&#128264;	F0 9F 94 88	\u1F508	Speaker
🔉	U+1F509	&#x1F509;	&#128265;	F0 9F 94 89	\u1F509	Speaker With One Sound Wave
🔊	U+1F50A	&#x1F50A;	&#128266;	F0 9F 94 8A	\u1F50A	Speaker With Three Sound Waves
🔋	U+1F50B	&#x1F50B;	&#128267;	F0 9F 94 8B	\u1F50B	Battery
🔌	U+1F50C	&#x1F50C;	&#128268;	F0 9F 94 8C	\u1F50C	Electric Plug
🔍	U+1F50D	&#x1F50D;	&#128269;	F0 9F 94 8D	\u1F50D	Left-pointing Magnifying Glass
🔎	U+1F50E	&#x1F50E;	&#128270;	F0 9F 94 8E	\u1F50E	Right-pointing Magnifying Glass
🔏	U+1F50F	&#x1F50F;	&#128271;	F0 9F 94 8F	\u1F50F	Lock With Ink Pen
🔐	U+1F510	&#x1F510;	&#128272;	F0 9F 94 90	\u1F510	Closed Lock With Key
🔑	U+1F511	&#x1F511;	&#128273;	F0 9F 94 91	\u1F511	Key
🔒	U+1F512	&#x1F512;	&#128274;	F0 9F 94 92	\u1F512	Lock
🔓	U+1F513	&#x1F513;	&#128275;	F0 9F 94 93	\u1F513	Open Lock
🔔	U+1F514	&#x1F514;	&#128276;	F0 9F 94 94	\u1F514	Bell
🔕	U+1F515	&#x1F515;	&#128277;	F0 9F 94 95	\u1F515	Bell With Cancellation Stroke
🔖	U+1F516	&#x1F516;	&#128278;	F0 9F 94 96	\u1F516	Bookmark
🔗	U+1F517	&#x1F517;	&#128279;	F0 9F 94 97	\u1F517	Link Symbol
🔘	U+1F518	&#x1F518;	&#128280;	F0 9F 94 98	\u1F518	Radio Button
🔙	U+1F519	&#x1F519;	&#128281;	F0 9F 94 99	\u1F519	Back With Leftwards Arrow Above
🔚	U+1F51A	&#x1F51A;	&#128282;	F0 9F 94 9A	\u1F51A	End With Leftwards Arrow Above
🔛	U+1F51B	&#x1F51B;	&#128283;	F0 9F 94 9B	\u1F51B	On With Exclamation Mark With Left Right Arrow Above
🔜	U+1F51C	&#x1F51C;	&#128284;	F0 9F 94 9C	\u1F51C	Soon With Rightwards Arrow Above
🔝	U+1F51D	&#x1F51D;	&#128285;	F0 9F 94 9D	\u1F51D	Top With Upwards Arrow Above
🔞	U+1F51E	&#x1F51E;	&#128286;	F0 9F 94 9E	\u1F51E	No One Under Eighteen Symbol
🔟	U+1F51F	&#x1F51F;	&#128287;	F0 9F 94 9F	\u1F51F	Keycap Ten
🔠	U+1F520	&#x1F520;	&#128288;	F0 9F 94 A0	\u1F520	Input Symbol For Latin Capital Letters
🔡	U+1F521	&#x1F521;	&#128289;	F0 9F 94 A1	\u1F521	Input Symbol For Latin Small Letters
🔢	U+1F522	&#x1F522;	&#128290;	F0 9F 94 A2	\u1F522	Input Symbol For Numbers
🔣	U+1F523	&#x1F523;	&#128291;	F0 9F 94 A3	\u1F523	Input Symbol For Symbols
🔤	U+1F524	&#x1F524;	&#128292;	F0 9F 94 A4	\u1F524	Input Symbol For Latin Letters
🔥	U+1F525	&#x1F525;	&#128293;	F0 9F 94 A5	\u1F525	Fire
🔦	U+1F526	&#x1F526;	&#128294;	F0 9F 94 A6	\u1F526	Electric Torch
🔧	U+1F527	&#x1F527;	&#128295;	F0 9F 94 A7	\u1F527	Wrench
🔨	U+1F528	&#x1F528;	&#128296;	F0 9F 94 A8	\u1F528	Hammer
🔩	U+1F529	&#x1F529;	&#128297;	F0 9F 94 A9	\u1F529	Nut And Bolt
🔪	U+1F52A	&#x1F52A;	&#128298;	F0 9F 94 AA	\u1F52A	Hocho
🔫	U+1F52B	&#x1F52B;	&#128299;	F0 9F 94 AB	\u1F52B	Pistol
🔬	U+1F52C	&#x1F52C;	&#128300;	F0 9F 94 AC	\u1F52C	Microscope
🔭	U+1F52D	&#x1F52D;	&#128301;	F0 9F 94 AD	\u1F52D	Telescope
🔮	U+1F52E	&#x1F52E;	&#128302;	F0 9F 94 AE	\u1F52E	Crystal Ball
🔯	U+1F52F	&#x1F52F;	&#128303;	F0 9F 94 AF	\u1F52F	Six Pointed Star With Middle Dot
🔰	U+1F530	&#x1F530;	&#128304;	F0 9F 94 B0	\u1F530	Japanese Symbol For Beginner
🔱	U+1F531	&#x1F531;	&#128305;	F0 9F 94 B1	\u1F531	Trident Emblem
🔲	U+1F532	&#x1F532;	&#128306;	F0 9F 94 B2	\u1F532	Black Square Button
🔳	U+1F533	&#x1F533;	&#128307;	F0 9F 94 B3	\u1F533	White Square Button
🔴	U+1F534	&#x1F534;	&#128308;	F0 9F 94 B4	\u1F534	Large Red Circle
🔵	U+1F535	&#x1F535;	&#128309;	F0 9F 94 B5	\u1F535	Large Blue Circle
🔶	U+1F536	&#x1F536;	&#128310;	F0 9F 94 B6	\u1F536	Large Orange Diamond
🔷	U+1F537	&#x1F537;	&#128311;	F0 9F 94 B7	\u1F537	Large Blue Diamond
🔸	U+1F538	&#x1F538;	&#128312;	F0 9F 94 B8	\u1F538	Small Orange Diamond
🔹	U+1F539	&#x1F539;	&#128313;	F0 9F 94 B9	\u1F539	Small Blue Diamond
🔺	U+1F53A	&#x1F53A;	&#128314;	F0 9F 94 BA	\u1F53A	Up-pointing Red Triangle
🔻	U+1F53B	&#x1F53B;	&#128315;	F0 9F 94 BB	\u1F53B	Down-pointing Red Triangle
🔼	U+1F53C	&#x1F53C;	&#128316;	F0 9F 94 BC	\u1F53C	Up-pointing Small Red Triangle
🔽	U+1F53D	&#x1F53D;	&#128317;	F0 9F 94 BD	\u1F53D	Down-pointing Small Red Triangle
🕀	U+1F540	&#x1F540;	&#128320;	F0 9F 95 80	\u1F540	Circled Cross Pommee
🕁	U+1F541	&#x1F541;	&#128321;	F0 9F 95 81	\u1F541	Cross Pommee With Half-circle Below
🕂	U+1F542	&#x1F542;	&#128322;	F0 9F 95 82	\u1F542	Cross Pommee
🕃	U+1F543	&#x1F543;	&#128323;	F0 9F 95 83	\u1F543	Notched Left Semicircle With Three Dots
🕐	U+1F550	&#x1F550;	&#128336;	F0 9F 95 90	\u1F550	Clock Face One Oclock
🕑	U+1F551	&#x1F551;	&#128337;	F0 9F 95 91	\u1F551	Clock Face Two Oclock
🕒	U+1F552	&#x1F552;	&#128338;	F0 9F 95 92	\u1F552	Clock Face Three Oclock
🕓	U+1F553	&#x1F553;	&#128339;	F0 9F 95 93	\u1F553	Clock Face Four Oclock
🕔	U+1F554	&#x1F554;	&#128340;	F0 9F 95 94	\u1F554	Clock Face Five Oclock
🕕	U+1F555	&#x1F555;	&#128341;	F0 9F 95 95	\u1F555	Clock Face Six Oclock
🕖	U+1F556	&#x1F556;	&#128342;	F0 9F 95 96	\u1F556	Clock Face Seven Oclock
🕗	U+1F557	&#x1F557;	&#128343;	F0 9F 95 97	\u1F557	Clock Face Eight Oclock
🕘	U+1F558	&#x1F558;	&#128344;	F0 9F 95 98	\u1F558	Clock Face Nine Oclock
🕙	U+1F559	&#x1F559;	&#128345;	F0 9F 95 99	\u1F559	Clock Face Ten Oclock
🕚	U+1F55A	&#x1F55A;	&#128346;	F0 9F 95 9A	\u1F55A	Clock Face Eleven Oclock
🕛	U+1F55B	&#x1F55B;	&#128347;	F0 9F 95 9B	\u1F55B	Clock Face Twelve Oclock
🕜	U+1F55C	&#x1F55C;	&#128348;	F0 9F 95 9C	\u1F55C	Clock Face One-thirty
🕝	U+1F55D	&#x1F55D;	&#128349;	F0 9F 95 9D	\u1F55D	Clock Face Two-thirty
🕞	U+1F55E	&#x1F55E;	&#128350;	F0 9F 95 9E	\u1F55E	Clock Face Three-thirty
🕟	U+1F55F	&#x1F55F;	&#128351;	F0 9F 95 9F	\u1F55F	Clock Face Four-thirty
🕠	U+1F560	&#x1F560;	&#128352;	F0 9F 95 A0	\u1F560	Clock Face Five-thirty
🕡	U+1F561	&#x1F561;	&#128353;	F0 9F 95 A1	\u1F561	Clock Face Six-thirty
🕢	U+1F562	&#x1F562;	&#128354;	F0 9F 95 A2	\u1F562	Clock Face Seven-thirty
🕣	U+1F563	&#x1F563;	&#128355;	F0 9F 95 A3	\u1F563	Clock Face Eight-thirty
🕤	U+1F564	&#x1F564;	&#128356;	F0 9F 95 A4	\u1F564	Clock Face Nine-thirty
🕥	U+1F565	&#x1F565;	&#128357;	F0 9F 95 A5	\u1F565	Clock Face Ten-thirty
🕦	U+1F566	&#x1F566;	&#128358;	F0 9F 95 A6	\u1F566	Clock Face Eleven-thirty
🕧	U+1F567	&#x1F567;	&#128359;	F0 9F 95 A7	\u1F567	Clock Face Twelve-thirty
🗻	U+1F5FB	&#x1F5FB;	&#128507;	F0 9F 97 BB	\u1F5FB	Mount Fuji
🗼	U+1F5FC	&#x1F5FC;	&#128508;	F0 9F 97 BC	\u1F5FC	Tokyo Tower
🗽	U+1F5FD	&#x1F5FD;	&#128509;	F0 9F 97 BD	\u1F5FD	Statue Of Liberty
🗾	U+1F5FE	&#x1F5FE;	&#128510;	F0 9F 97 BE	\u1F5FE	Silhouette Of Japan
🗿	U+1F5FF	&#x1F5FF;	&#128511;	F0 9F 97 BF	\u1F5FF	Moyai
x	U+1F5FF	&#x1F5FA;	&#12851A;	F0 9F 97 B4	\u873FF X
